studio,domestic_gross,foreign_gross,year
A23,13200,0,2013
A24,27845400,30900000,2013
AF,76900,0,2013
Anch.,90500,0,2013
ATO,13500,794000,2013
BV,1816400000,3233199999,2013
CBS,97100000,90274600,2013
Cdgm.,1330200,21300000,2013
CGld,637200,0,2013
CJ,813400,53600000,2013
CL,525800,240700000,2013
Cohen,1088400,17500000,2013
Da.,17700,3600000,2013
Distrib.,86800,15200000,2013
Drft.,509100,3600000,2013
E1,340000,1300000,2013
Elev.,376000,12600000,2013
ELS,2300000,0,2013
EOne,591400,27700000,2013
Eros,12377700,0,2013
EXCL,319000,0,2013
FCW,166000,0,2013
FD,213200000,188100000,2013
FEF,613000,0,2013
FIP,0,6000000,2013
FM,15800,306000,2013
Focus,98500000,62100000,2013
Fox,1022300000,1903300000,2013
FoxS,130700000,174222700,2013
FRun,38600,0,2013
GK,1021000,60000000,2013
Gold.,3500000,0,2013
HTR,2400000,0,2013
IFC,8072799,12535000,2013
Imax,7600000,6500000,2013
Jan.,2900000,18500000,2013
KL,174300,1688000,2013
LD,1400000,0,2013
LG/S,399300000,555474000,2013
LGF,679195000,572983000,2013
Magn.,1795700,34119000,2013
MBox,1108700,1232000,2013
MNE,3338700,35200000,2013
MPI,102000,1500000,2013
MSF,259000,0,2013
NGE,8000000,1300000,2013
ORF,149300000,137700000,2013
Osci.,72600,2200000,2013
P/108,232200,0,2013
Par.,1021100000,1417500000,2013
PH,3400000,4600000,2013
PI,0,2100000,2013
PM&E,516000,54100000,2013
RAtt.,42636900,18400000,2013
Rela.,242900000,185000000,2013
Relbig.,2622000,0,2013
Rialto,3500,0,2013
RTWC,6136000,13852000,2013
SD,18200,0,2013
SGem,75400000,121400000,2013
Sony,816799999,1097300000,2013
SPC,61613000,109799999,2013
Strand,202600,4400000,2013
TFA,112000,0,2013
Trib.,248200,5300000,2013
TriS,228100000,292800000,2013
TVC,850000,0,2013
Uni.,1468100000,2029900000,2013
UTV,9435000,0,2013
Vari.,551000,0,2013
Vita.,1100,0,2013
W/Dim.,49400000,55400000,2013
WAMCR,145200,269900000,2013
WB,1115300000,1791700000,2013
"WB (NL)",633899999,1139100000,2013
